epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,478.546,0.80947,1.32548,0.98728,0.6486,0.46364,0.55954,0.38323,1.14677,3.23367,1.21857,0.000848969,0.000848969,0.000848969
43,487.724,0.83254,1.36457,0.96837,0.6552,0.40628,0.57364,0.36822,1.20372,3.20491,1.28051,0.000834822,0.000834822,0.000834822
44,496.769,0.75571,1.36607,0.9655,0.39149,0.5,0.53135,0.35264,1.25473,3.11014,1.35222,0.000820675,0.000820675,0.000820675
45,506.006,0.85526,1.33236,1.02315,0.39149,0.5,0.53135,0.35264,1.25473,3.11014,1.35222,0.000806528,0.000806528,0.000806528
46,514.846,0.76327,1.26738,0.94254,0.43107,0.36427,0.50533,0.35309,1.22555,3.16659,1.32789,0.00079238,0.00079238,0.00079238
47,524.058,0.74287,1.24218,0.94149,0.57488,0.46836,0.53031,0.37788,1.21382,3.02013,1.32228,0.000778233,0.000778233,0.000778233
48,533.099,0.71619,1.30526,0.94037,0.45383,0.51505,0.49434,0.35706,1.18162,2.84299,1.31174,0.000764086,0.000764086,0.000764086
49,542.244,0.80564,1.3131,0.97464,0.45383,0.51505,0.49434,0.35706,1.18162,2.84299,1.31174,0.000749939,0.000749939,0.000749939
50,551.317,0.7439,1.22244,0.92506,0.53859,0.60171,0.56261,0.40202,1.16045,2.70967,1.25222,0.000735792,0.000735792,0.000735792
51,560.564,0.7759,1.22167,0.95443,0.51114,0.71187,0.69448,0.49286,1.06188,2.4939,1.19059,0.000721645,0.000721645,0.000721645
52,569.821,0.7688,1.20511,0.96352,0.56417,0.78707,0.74233,0.5575,1.05445,2.3861,1.14873,0.000707498,0.000707498,0.000707498
53,579.06,0.77654,1.21858,0.9482,0.56417,0.78707,0.74233,0.5575,1.05445,2.3861,1.14873,0.000693351,0.000693351,0.000693351
54,588.197,0.72989,1.12375,0.93694,0.94344,0.65202,0.79835,0.57585,1.12008,2.09989,1.15036,0.000679204,0.000679204,0.000679204
55,597.454,0.71665,1.20641,0.93729,0.88461,0.71531,0.84465,0.59193,1.15932,1.94213,1.21265,0.000665057,0.000665057,0.000665057
56,607.179,0.71311,1.18705,0.95088,0.79839,0.81215,0.8594,0.59386,1.20487,1.85714,1.27298,0.000650909,0.000650909,0.000650909
57,616.351,0.69503,1.17317,0.92629,0.79839,0.81215,0.8594,0.59386,1.20487,1.85714,1.27298,0.000636762,0.000636762,0.000636762
58,625.633,0.67494,1.10739,0.94009,0.85627,0.76676,0.86734,0.57384,1.22105,1.80174,1.2627,0.000622615,0.000622615,0.000622615
